Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instructions.stopped,trial.started,text.started,trial.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,distractor_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,distractor_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_5.text,textbox_4.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall_task.started,key_resp.started,word_display.started,textbox_6.started,recall_task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.60937550000017,97.61961695900027,102.61328279200097,102.61328279200097,105.61372541700075,105.61372541700075,110.62326929200026,110.62326929200026,112.61469458400097,113.63622616700013,117.60730720900028,118.6118490000008,121.61833195899999,121.61833195899999,126.60794795900074,126.60794795900074,129.60394658400037,129.61947129200053,134.60784799999965,135.61322516700056,138.61879333400066,138.61879333400066,143.61040875000072,143.60451662500054,"t
",s,c,s,t,,,,,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.60454629200103,143.61040875000072,151.61179895900023,151.59548337500019,,,,,,,,,,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Emotion,Concept,Abstract,,,,,0,0,0,11,151.61179895900023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.60242341699995,151.62603508400025,151.62603508400025,151.62603508400025,160.80543279199992,space,9.17729849999887,None,love,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Phone,Pen,Concrete,,,,,0,1,1,4,160.82321066700024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.80613062500015,160.82321066700024,160.82321066700024,160.82321066700024,163.34229308400063,space,2.5074634160009737,None, pen ,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Desk,Computer,Concrete,,,,,0,2,2,5,163.37227087500105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.34274862500024,163.37227087500105,163.37227087500105,163.37227087500105,167.5725391670003,space,4.193391959001019,None,computer,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Time,Reason,Abstract,,,,,0,3,3,9,167.58864399999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5729832500001,167.58864399999948,167.58864399999948,167.58864399999948,173.71739266700024,space,6.1171670829990035,None, clock ,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Tree,Flower,Concrete,,,,,0,4,4,3,173.73035520899975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7178418750009,173.73035520899975,173.73035520899975,173.73035520899975,180.91775462500118,space,7.176198875000409,None,trunk ,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Equality,Justice,Abstract,,,,,0,5,5,7,180.93183483400026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.9181990420002,180.93183483400026,180.93183483400026,180.93183483400026,183.59843620900028,space,2.6650715000014316,None,justice,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Lamp,Chair,Concrete,,,,,0,6,6,0,183.61386158400092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.59887629200057,183.61386158400092,183.61386158400092,183.61386158400092,191.13182979200064,space,7.516109416999825,None, chair,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Car,House,Concrete,,,,,0,7,7,1,191.15263362500082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.13227479200032,191.15263362500082,191.15263362500082,191.15263362500082,193.17449033400044,space,2.0172152089999145,None, house,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Thought,Perspective,Abstract,,,,,0,8,8,10,193.19108241700087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.17496800000117,193.19108241700087,193.19108241700087,193.19108241700087,198.97480825000093,space,5.78232833400034,None, knowledge,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Freedom,Society,Abstract,,,,,0,9,9,6,198.9913177920007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.97525887499978,198.9913177920007,198.9913177920007,198.9913177920007,204.79069075000007,space,5.796928707999541,None, justice,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Table,Book,Concrete,,,,,0,10,10,2,204.80715270899964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7911373750012,204.80715270899964,204.80715270899964,204.80715270899964,212.8493095419999,space,8.039849959001003,None, lamp,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
Love,Hate,Abstract,,,,,0,11,11,8,212.86504904200046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.84975062500052,212.86504904200046,212.86504904200046,212.86504904200046,222.33282745900033,space,9.461940417000733,None, hate,Devam,001,2024-12-03_10h58.46.397,word pair visual,2024.1.5,None,2024-12-03 10h59.03.861456 +0530,
