Word1,Word2,Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,introduction.started,instruction_3.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,instruction.started,instruction.stopped,instructions.stopped,trial.started,text.started,trial.stopped,text.stopped,distractor.started,text_3.started,text_3.stopped,distractor.stopped,dist_task.started,text_2.started,polygon.started,text_2.stopped,polygon.stopped,textbox.started,polygon_2.started,textbox.stopped,textbox_2.started,polygon_2.stopped,textbox_2.stopped,polygon_3.started,polygon_3.stopped,textbox_3.started,polygon_4.started,textbox_3.stopped,polygon_4.stopped,textbox_4.started,textbox_4.stopped,polygon_5.started,polygon_5.stopped,textbox_5.started,textbox_5.stopped,dist_task.stopped,textbox.text,textbox_2.text,textbox_3.text,textbox_4.text,textbox_5.text,recall_instruction.started,instruction_2.started,instruction_2.stopped,recall_instruction.stopped,recall.started,key_resp.started,word_display.started,textbox_6.started,recall.stopped,key_resp.keys,key_resp.rt,key_resp.duration,textbox_6.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.84238591599933,90.84951995799929,99.84342162499888,99.83305404099883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.83308399999805,99.84342162499888,104.83837537499858,104.83837537499858,107.84217441600049,107.84217441600049,112.8531528329986,112.8531528329986,114.84260649999851,115.84960704100013,119.83134358299867,120.8364394579985,123.84276829100054,123.84276829100054,128.83309262499824,128.83309262499824,131.82815291599763,131.83984187500027,136.83188495799914,137.83659008299946,140.83970866600066,140.83970866600066,145.83368395800062,145.8280491250007,t,s,r,c,s,,,,,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.82808979100082,145.83368395800062,153.8353644159979,153.81888875000004,,,,,,,,,,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Love,Hate,Abstract,,,,,0,0,0,8,153.8353644159979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.82784570799777,153.84791754099933,153.84791754099933,153.84791754099933,163.1574026249982,space,9.298148124998988,None,hate ,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Tree,Flower,Concrete,,,,,0,1,1,3,163.1711468329995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.15815704099805,163.1711468329995,163.1711468329995,163.1711468329995,168.620999666,space,5.444233665999491,None,pole,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Thought,Perspective,Abstract,,,,,0,2,2,10,168.63743062499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.62145249999958,168.63743062499998,168.63743062499998,168.63743062499998,176.48812175000057,space,7.844816458000423,None, brain,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Freedom,Society,Abstract,,,,,0,3,3,6,176.50448779100043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4885911249985,176.50448779100043,176.50448779100043,176.50448779100043,191.2502782909978,space,14.734518249999383,None, society ,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Emotion,Concept,Abstract,,,,,0,4,4,11,191.26377908299764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.25072733299749,191.26377908299764,191.26377908299764,191.26377908299764,196.18956058299955,space,4.921602458001871,None,love,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Table,Book,Concrete,,,,,0,5,5,2,196.20627504100048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.19000745800076,196.20627504100048,196.20627504100048,196.20627504100048,216.69940445799875,space,20.48977549999836,None, sofa,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Equality,Justice,Abstract,,,,,0,6,6,7,216.71623512500082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.6998497079985,216.71623512500082,216.71623512500082,216.71623512500082,225.66577108300044,space,8.942767124997772,None, opportunity,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Car,House,Concrete,,,,,0,7,7,1,225.6870664579983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.66621929100074,225.6870664579983,225.6870664579983,225.6870664579983,231.11636687499777,space,5.423471958001755,None, house,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Time,Reason,Abstract,,,,,0,8,8,9,231.1324682079976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.11681987499833,231.1324682079976,231.1324682079976,231.1324682079976,234.52429112499885,space,3.389660000000731,None, wall,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Phone,Pen,Concrete,,,,,0,9,9,4,234.54065187499873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.52472687499903,234.54065187499873,234.54065187499873,234.54065187499873,237.21739149999848,space,2.6671045840012084,None, pen,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Desk,Computer,Concrete,,,,,0,10,10,5,237.23349433299882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.2178463329983,237.23349433299882,237.23349433299882,237.23349433299882,243.7500419579992,space,6.508894083002815,None, lamp,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
Lamp,Chair,Concrete,,,,,0,11,11,0,243.76646666599845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.75049416599722,243.76646666599845,243.76646666599845,243.76646666599845,256.5339321249994,space,12.763812834000419,None, chair,Bhumi,001,2024-12-03_20h10.13.640,word pair verbal,2024.1.5,None,2024-12-03 20h10.35.112749 +0530,
